Location,Latitude,Longitude,SeverityScore,IncidentsTotal
POINT(-79.51099 43.61796),43.618,-79.511,0.004,3
POINT(-79.27379 43.77297),43.773,-79.274,0.003,3
POINT(-79.57929 43.67441),43.674,-79.579,0,3
POINT(-79.34525 43.80162),43.802,-79.345,0.001,4
POINT(-79.47274 43.63372),43.634,-79.473,0.001,4
POINT(-79.30362 43.72688),43.727,-79.304,0.015,4
POINT(-79.33028 43.69756),43.698,-79.33,0.008,4
POINT(-79.38477 43.64668),43.647,-79.385,0.005,4
POINT(-79.44632 43.67717),43.677,-79.446,0.031,5
POINT(-79.42697 43.68877),43.689,-79.427,0.023,5
POINT(-79.41107 43.67682),43.677,-79.411,0.009,5
POINT(-79.48546 43.66848),43.668,-79.485,0.012,5
POINT(-79.42353 43.65868),43.659,-79.424,0.007,5
POINT(-79.31234 43.66736),43.667,-79.312,0.008,6
POINT(-79.51316 43.65935),43.659,-79.513,0.012,6
POINT(-79.35436 43.65933),43.659,-79.354,0.002,6
POINT(-79.44165 43.69754),43.698,-79.442,0.018,6
POINT(-79.30701 43.77889),43.779,-79.307,0.008,6
POINT(-79.28307 43.69239),43.692,-79.283,0.013,6
POINT(-79.37402 43.6519),43.652,-79.374,0.006,6
POINT(-79.36752 43.67449),43.674,-79.368,0.004,6
POINT(-79.43569 43.71797),43.718,-79.436,0.008,6
POINT(-79.47945 43.71511),43.715,-79.479,0.019,7
POINT(-79.40023 43.70596),43.706,-79.4,0.013,7
POINT(-79.35884 43.70196),43.702,-79.359,0.033,9
POINT(-79.26725 43.779),43.779,-79.267,0.002,9
POINT(-79.28333 43.79668),43.797,-79.283,0.031,9
POINT(-79.44953 43.72778),43.728,-79.45,0.005,9
POINT(-79.4898 43.7594),43.759,-79.49,0.011,10
POINT(-79.37788 43.71558),43.716,-79.378,0.045,12
POINT(-79.39465 43.66874),43.669,-79.395,0.014,12
POINT(-79.31374 43.75824),43.758,-79.314,0.026,13
POINT(-79.55372 43.71141),43.711,-79.554,0.009,14
POINT(-79.47992 43.72324),43.723,-79.48,0.002,15
POINT(-79.14616 43.79884),43.799,-79.146,0.011,16
POINT(-79.55117 43.67702),43.677,-79.551,0.019,17
POINT(-79.44408 43.71617),43.716,-79.444,0.015,18
POINT(-79.26323 43.77569),43.776,-79.263,0.011,18
POINT(-79.29571 43.74514),43.745,-79.296,0.034,19
POINT(-79.46748 43.72598),43.726,-79.467,0.003,25
POINT(-79.57779 43.70699),43.707,-79.578,0.021,28
