,Location,Latitude,Longitude,SeverityScore,IncidentsTotal
1235,POINT(-79.54448 43.61418),43.614,-79.544,0.033,53
1238,POINT(-79.48952 43.6869),43.687,-79.49,0.031,40
1240,POINT(-79.4932 43.77193),43.772,-79.493,0.4,513
1241,POINT(-79.29296 43.71977),43.72,-79.293,0.518,34
1242,POINT(-79.42959 43.71838),43.718,-79.43,0.074,78
1243,POINT(-79.48835 43.76449),43.764,-79.488,0.041,88
1244,POINT(-79.55383 43.71231),43.712,-79.554,0.038,30
1245,POINT(-79.47028 43.78697),43.787,-79.47,0.024,46
1247,POINT(-79.43205 43.73685),43.737,-79.432,0.148,1916
1248,POINT(-79.2948 43.74553),43.746,-79.295,0.027,77
1287,POINT(-79.4752 43.69649),43.696,-79.475,0.022,11
1289,POINT(-79.54323 43.75539),43.755,-79.543,0.071,14
1301,POINT(-79.46631 43.76612),43.766,-79.466,0.037,28
1302,POINT(-79.61982 43.74162),43.742,-79.62,0.063,28
1305,POINT(-79.40717 43.80082),43.801,-79.407,0.208,87
1307,POINT(-79.35826 43.70713),43.707,-79.358,0.59,36
1312,POINT(-79.25594 43.77121),43.771,-79.256,0.091,44
1315,POINT(-79.52944 43.7145),43.715,-79.529,0.023,139
1322,POINT(-79.39351 43.64249),43.642,-79.394,0.022,49
1365,POINT(-79.40167 43.80212),43.802,-79.402,0.052,16
1366,POINT(-79.42769 43.79647),43.796,-79.428,0.04,16
1367,POINT(-79.56105 43.61324),43.613,-79.561,0.026,17
1372,POINT(-79.3922 43.67431),43.674,-79.392,0.042,21
1373,POINT(-79.44678 43.71549),43.715,-79.447,0.021,23
1374,POINT(-79.30179 43.76478),43.765,-79.302,0.025,26
1377,POINT(-79.41972 43.79802),43.798,-79.42,0.038,45
1378,POINT(-79.27394 43.71367),43.714,-79.274,0.106,43
1379,POINT(-79.44591 43.6852),43.685,-79.446,0.038,30
1380,POINT(-79.43753 43.73362),43.734,-79.438,0.021,274
1381,POINT(-79.59071 43.70672),43.707,-79.591,0.106,123
1383,POINT(-79.52232 43.73736),43.737,-79.522,0.176,87
1384,POINT(-79.54183 43.74946),43.749,-79.542,0.129,44
1385,POINT(-79.3096 43.7424),43.742,-79.31,0.024,41
1387,POINT(-79.5401 43.74169),43.742,-79.54,0.171,99
1422,POINT(-79.57177 43.76014),43.76,-79.572,0.026,10
1425,POINT(-79.51951 43.63441),43.634,-79.52,0.022,11
1426,POINT(-79.29989 43.71818),43.718,-79.3,0.052,12
1431,POINT(-79.43192 43.72868),43.729,-79.432,0.026,14
1435,POINT(-79.31886 43.72595),43.726,-79.319,0.02,19
1438,POINT(-79.318 43.72612),43.726,-79.318,0.047,26
1439,POINT(-79.57927 43.68963),43.69,-79.579,0.043,28
1440,POINT(-79.4575 43.7262),43.726,-79.457,0.022,34
1441,POINT(-79.2973 43.72596),43.726,-79.297,0.048,46
1442,POINT(-79.3248 43.7246),43.725,-79.325,0.093,119
1449,POINT(-79.49124 43.66592),43.666,-79.491,0.036,81
1450,POINT(-79.29045 43.73479),43.735,-79.29,0.094,53
1480,POINT(-79.43329 43.73449),43.734,-79.433,0.032,12
1481,POINT(-79.47676 43.70299),43.703,-79.477,0.026,12
1482,POINT(-79.46721 43.77007),43.77,-79.467,0.024,12
1488,POINT(-79.37553 43.6668),43.667,-79.376,0.022,15
1490,POINT(-79.4198 43.73437),43.734,-79.42,0.025,16
1491,POINT(-79.19385 43.78813),43.788,-79.194,0.044,17
1496,POINT(-79.48922 43.75646),43.756,-79.489,0.047,20
1498,POINT(-79.54582 43.76715),43.767,-79.546,0.029,23
1501,POINT(-79.37571 43.76521),43.765,-79.376,0.02,174
1503,POINT(-79.5421 43.75208),43.752,-79.542,0.086,134
1505,POINT(-79.51998 43.60556),43.606,-79.52,0.132,58
1508,POINT(-79.6105 43.7342),43.734,-79.61,0.032,33
1510,POINT(-79.299 43.75607),43.756,-79.299,0.163,41
1512,POINT(-79.36455 43.76618),43.766,-79.365,0.02,399
1513,POINT(-79.48836 43.62601),43.626,-79.488,0.095,770
1514,POINT(-79.57836 43.7013),43.701,-79.578,0.425,571
1515,POINT(-79.3151 43.75775),43.758,-79.315,0.024,43
1548,POINT(-79.349 43.72264),43.723,-79.349,0.056,11
1552,POINT(-79.36446 43.71374),43.714,-79.364,0.02,13
1554,POINT(-79.47686 43.68978),43.69,-79.477,0.048,15
1556,POINT(-79.58023 43.68927),43.689,-79.58,0.027,17
1557,POINT(-79.23049 43.77312),43.773,-79.23,0.043,17
1558,POINT(-79.54303 43.75345),43.753,-79.543,0.03,17
1561,POINT(-79.39338 43.70809),43.708,-79.393,0.024,20
1563,POINT(-79.63827 43.75022),43.75,-79.638,0.022,23
1564,POINT(-79.44244 43.71218),43.712,-79.442,0.049,31
1565,POINT(-79.46874 43.77618),43.776,-79.469,0.12,162
1568,POINT(-79.45785 43.72784),43.728,-79.458,0.031,574
1570,POINT(-79.29282 43.70149),43.701,-79.293,0.097,33
1571,POINT(-79.50561 43.70946),43.709,-79.506,0.047,30
1572,POINT(-79.46883 43.77704),43.777,-79.469,0.099,61
1573,POINT(-79.46716 43.76912),43.769,-79.467,0.048,84
1576,POINT(-79.53758 43.71941),43.719,-79.538,0.062,40
1577,POINT(-79.3314 43.76757),43.768,-79.331,0.043,391
1617,POINT(-79.50492 43.74085),43.741,-79.505,0.047,10
1624,POINT(-79.37824 43.66616),43.666,-79.378,0.027,14
1626,POINT(-79.4676 43.77187),43.772,-79.468,0.025,19
1628,POINT(-79.36044 43.75499),43.755,-79.36,0.029,21
1630,POINT(-79.2985 43.68894),43.689,-79.298,0.098,22
1631,POINT(-79.32415 43.6538),43.654,-79.324,0.153,26
1632,POINT(-79.41566 43.70313),43.703,-79.416,0.052,27
1636,POINT(-79.4864 43.74501),43.745,-79.486,0.065,125
1637,POINT(-79.55649 43.61507),43.615,-79.556,0.057,50
1640,POINT(-79.49379 43.70479),43.705,-79.494,0.033,47
1643,POINT(-79.38686 43.76336),43.763,-79.387,0.025,466
1691,POINT(-79.37855 43.71926),43.719,-79.379,0.035,13
1692,POINT(-79.52917 43.62644),43.626,-79.529,0.02,14
1694,POINT(-79.44261 43.67674),43.677,-79.443,0.035,15
1696,POINT(-79.45808 43.73193),43.732,-79.458,0.02,17
1697,POINT(-79.33738 43.71675),43.717,-79.337,0.042,17
1699,POINT(-79.4707 43.67106),43.671,-79.471,0.041,21
1700,POINT(-79.36828 43.79001),43.79,-79.368,0.037,21
1701,POINT(-79.29733 43.75201),43.752,-79.297,0.07,21
1702,POINT(-79.32445 43.74086),43.741,-79.324,0.031,26
1703,POINT(-79.37308 43.65347),43.653,-79.373,0.02,27
1704,POINT(-79.52098 43.71518),43.715,-79.521,0.169,1057
1705,POINT(-79.43306 43.71853),43.719,-79.433,0.064,59
1706,POINT(-79.41907 43.70242),43.702,-79.419,0.054,47
1707,POINT(-79.41032 43.75926),43.759,-79.41,0.049,124
1708,POINT(-79.46657 43.71139),43.711,-79.467,0.038,80
1709,POINT(-79.53587 43.7527),43.753,-79.536,0.036,35
1713,POINT(-79.58737 43.71524),43.715,-79.587,0.047,37
1758,POINT(-79.41658 43.70286),43.703,-79.417,0.046,12
1762,POINT(-79.44155 43.755),43.755,-79.442,0.038,17
1767,POINT(-79.54048 43.6179),43.618,-79.54,0.036,23
1768,POINT(-79.51802 43.75769),43.758,-79.518,0.027,26
1769,POINT(-79.48853 43.75382),43.754,-79.489,0.043,26
1770,POINT(-79.54041 43.74291),43.743,-79.54,0.088,27
1774,POINT(-79.36191 43.7635),43.764,-79.362,0.022,70
1776,POINT(-79.55142 43.61507),43.615,-79.551,0.032,305
1777,POINT(-79.46085 43.71276),43.713,-79.461,0.062,36
1778,POINT(-79.26816 43.73207),43.732,-79.268,0.039,33
1779,POINT(-79.34404 43.71892),43.719,-79.344,0.284,124
